Parcela,Mod / Subp,CENSO,Estación /año,Fecha,#Ind,Clave sp,Género,Epiteto específico,Familia,Nombre común,Altura,Largo,DAP mayor,# Tallos,Estatus,Observaciones,# CenOrig,Fenología,Daño,Origen,FormaVida,DAP1,DAP2,DAP3,DAP4,DAP5,DAP6,DAP7,DAP8,DAP9,DAP10,DAP11,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,1,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,8,8,9.6,1,arbol,,C0,,,,,9.6,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,2,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,7.5,5.7,1,arbol,semilla,C0,,,semilla,,5.7,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,3,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,4,6,6.5,1,arbol,semilla,C0,,,semilla,,6.5,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,4,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7.5,8,9.5,2,arbol,rebrote,C0,,,rebrote,,9.5,8.1,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,41,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,8,8.5,8.5,1,arbol,semilla,C6,,,semilla,,8.5,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,56,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7.5,8,6.9,1,arbol,semilla,C8,,,semilla,,6.9,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,60,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,,,0,0,juvenil,bajo de categoría,C9,,,bajo de categoría,,,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,82,bauung,Bauhinia,ungulata,FABACEAE,Box ts'uru'tok,7,8,6.5,8,arbol,rebrote,C10,,,rebrote,,6.5,4.8,3.9,4.8,5.2,3.9,2.5,3.5,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,88,bauung,Bauhinia,ungulata,FABACEAE,Box ts'uru'tok,7,7.5,5.6,3,arbol,rebrote,C11,,,rebrote,,3.2,3.5,5.6,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,89,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,8,6.6,2,arbol,rebrote,C11,,,rebrote,,6.6,4.5,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,90,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,6.5,7,5.5,1,arbol,semilla,C11,,,semilla,,5.5,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,98,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,7.5,6.2,1,arbol,semilla,C12,,,semilla,,6.2,,,,,,,,,,,,
3 B,1,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,99,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,6,7,5.5,1,arbol,semilla,C12,,,semilla,,5.5,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,5,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,8,9,9.4,3,arbol,rebrote,C0,,,rebrote,,9.4,9.2,5,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,6,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,7.5,8,5,arbol,rebrote,C0,,,rebrote,,3.6,5.8,6.3,8,7.7,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,7,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,8,8.5,8.3,2,arbol,semilla,C0,,,semilla,,8.3,7.2,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,42,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7.5,8,9.5,1,arbol,semilla,C6,,,semilla,,9.5,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,43,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,8,8.5,8.2,2,arbol,semilla,C6,,,semilla,,8.2,4.5,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,44,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,7.5,7.1,2,arbol,semilla,C6,,,semilla,,7.1,4.8,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,61,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,7.5,6.3,1,arbol,semilla,C9,,,semilla,,6.3,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,91,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6,8,5.9,2,arbol,rebrote,C11,,,rebrote,,5,5.9,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,100,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,7,7.5,6,1,arbol,semilla,C12,,,semilla,,6,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,108,casgau,Cascabela,gaumeri,APOCYNACEAE,Ak' its,7,7.5,6.3,1,arbol,semilla,C13,,,semilla,,6.3,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,112,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,8,8.5,6.5,1,arbol,semilla,C14,,,semilla,,6.5,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,128,caegau,Caesalpinia,gaumeri,FABACEAE,Kitinché,6.5,7,5.3,2,recluta,rebrote,C15,,,rebrote,,5.3,3.5,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,129,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,8,5.1,1,recluta,semilla,C15,,,semilla,,5.1,,,,,,,,,,,,
3 B,2,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,130,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,7,8,5.1,1,recluta,semilla,C15,,,semilla,,5.1,,,,,,,,,,,,
3 B,3,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,8,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,8,9,12.2,1,arbol,semilla,C0,,,semilla,,12.2,,,,,,,,,,,,
